 # I XP T DE ATW ATP BT
     1    0.00000  373.14999    3.71517    0.00000    1.00000  373.14999
     2    0.00161  372.69495    1.85759    3.71517    5.57431    0.46225
     3    0.00484  371.84698    1.85759    1.85759    3.71672    0.46225
     4    0.00807  371.06052    1.85759    1.85759    3.71672    0.46225
     5    0.01130  370.33490    1.85759    1.85759    3.71672    0.46225
     6    0.01453  369.66956    1.85758    1.85759    3.71672    0.46225
     7    0.01777  369.06390    1.85759    1.85758    3.71672    0.46225
     8    0.02099  368.51743    1.85758    1.85759    3.71672    0.46225
     9    0.02423  368.02969    1.85759    1.85758    3.71672    0.46225
    10    0.02745  367.60028    1.85758    1.85759    3.71672    0.46225
    11    0.03069  367.22882    1.85759    1.85758    3.71672    0.46225
    12    0.03391  366.91504    1.85758    1.85759    3.71672    0.46225
    13    0.03714  366.65872    1.85759    1.85758    3.71672    0.46225
    14    0.04037  366.45956    1.85758    1.85759    3.71672    0.46225
    15    0.04360  366.31741    1.85759    1.85758    3.71672    0.46225
    16    0.04683  366.23218    1.85758    1.85759    3.71672    0.46225
    17    0.05006  366.20377    1.85759    1.85758    3.71672    0.46225
    18    0.05329  366.23215    1.85758    1.85759    3.71672    0.46225
    19    0.05652  366.31738    1.85759    1.85758    3.71672    0.46225
    20    0.05975  366.45950    1.85758    1.85759    3.71672    0.46225
    21    0.06299  366.65869    1.85759    1.85758    3.71672    0.46225
    22    0.06621  366.91504    1.85758    1.85759    3.71672    0.46225
    23    0.06944  367.22882    1.85758    1.85758    3.71671    0.46225
    24    0.07268  367.60025    1.85759    1.85758    3.71672    0.46225
    25    0.07590  368.02963    1.85758    1.85759    3.71672    0.46225
    26    0.07914  368.51740    1.85759    1.85758    3.71672    0.46225
    27    0.08236  369.06384    1.85758    1.85759    3.71672    0.46225
    28    0.08559  369.66949    1.85758    1.85758    3.71671    0.46225
    29    0.08883  370.33484    1.85759    1.85758    3.71672    0.46225
    30    0.09205  371.06046    1.85758    1.85759    3.71672    0.46225
    31    0.09528  371.84695    1.85758    1.85758    3.71671    0.46225
    32    0.09852  372.69495    3.71518    1.85758    5.57431    0.46225
    33    0.10013  373.14999 **********    0.00000    1.00000  373.14999
