 # I XP T DE ATW ATP BT
     1    0.00000  400.00000    0.00325    0.00000    1.00000  400.00000
     2    0.00077  367.58698    0.00162    0.00325    0.00522    0.09565
     3    0.00231  322.40149    0.00162    0.00162    0.00348    0.05660
     4    0.00385  288.83859    0.00162    0.00162    0.00342    0.03646
     5    0.00539  262.76315    0.00162    0.00162    0.00337    0.02498
     6    0.00693  241.81589    0.00162    0.00162    0.00335    0.01791
     7    0.00847  224.54694    0.00162    0.00162    0.00333    0.01332
     8    0.01001  210.01280    0.00162    0.00162    0.00331    0.01019
     9    0.01155  197.57117    0.00162    0.00162    0.00330    0.00798
    10    0.01309  186.76840    0.00162    0.00162    0.00329    0.00637
    11    0.01463  177.27432    0.00162    0.00162    0.00329    0.00517
    12    0.01617  168.84224    0.00162    0.00162    0.00328    0.00426
    13    0.01771  161.28384    0.00162    0.00162    0.00328    0.00355
    14    0.01925  154.45264    0.00162    0.00162    0.00327    0.00298
    15    0.02079  148.23265    0.00162    0.00162    0.00327    0.00253
    16    0.02233  142.53088    0.00162    0.00162    0.00327    0.00216
    17    0.02387  137.27165    0.00162    0.00162    0.00326    0.00186
    18    0.02541  132.39265    0.00162    0.00162    0.00326    0.00161
    19    0.02695  127.84203    0.00162    0.00162    0.00326    0.00140
    20    0.02849  123.57629    0.00162    0.00162    0.00326    0.00122
    21    0.03003  119.55852    0.00162    0.00162    0.00326    0.00107
    22    0.03157  115.75719    0.00162    0.00162    0.00326    0.00094
    23    0.03311  112.14514    0.00162    0.00162    0.00326    0.00083
    24    0.03465  108.69889    0.00162    0.00162    0.00326    0.00073
    25    0.03619  105.39789    0.00162    0.00162    0.00325    0.00065
    26    0.03773  102.22415    0.00162    0.00162    0.00325    0.00057
    27    0.03927   99.16183    0.00162    0.00162    0.00325    0.00051
    28    0.04081   96.19687    0.00162    0.00162    0.00325    0.00045
    29    0.04235   93.31681    0.00162    0.00162    0.00325    0.00040
    30    0.04389   90.51057    0.00162    0.00162    0.00325    0.00035
    31    0.04543   87.76821    0.00162    0.00162    0.00325    0.00031
    32    0.04697   85.08086    0.00162    0.00162    0.00325    0.00027
    33    0.04851   82.44063    0.00162    0.00162    0.00325    0.00024
    34    0.05005   79.84044    0.00162    0.00162    0.00325    0.00021
    35    0.05159   77.27398    0.00162    0.00162    0.00325    0.00019
    36    0.05313   74.73568    0.00162    0.00162    0.00325    0.00016
    37    0.05467   72.22062    0.00162    0.00162    0.00325    0.00014
    38    0.05621   69.72446    0.00162    0.00162    0.00325    0.00012
    39    0.05775   67.24344    0.00162    0.00162    0.00325    0.00011
    40    0.05929   64.77431    0.00162    0.00162    0.00325    0.00009
    41    0.06083   62.31433    0.00162    0.00162    0.00325    0.00008
    42    0.06237   59.86115    0.00162    0.00162    0.00325    0.00007
    43    0.06391   57.41288    0.00162    0.00162    0.00325    0.00006
    44    0.06545   54.96796    0.00162    0.00162    0.00325    0.00005
    45    0.06699   52.52518    0.00162    0.00162    0.00325    0.00004
    46    0.06853   50.08366    0.00162    0.00162    0.00325    0.00003
    47    0.07007   47.64267    0.00162    0.00162    0.00325    0.00003
    48    0.07161   45.20178    0.00162    0.00162    0.00325    0.00002
    49    0.07315   42.76070    0.00162    0.00162    0.00325    0.00002
    50    0.07469   40.31923    0.00162    0.00162    0.00325    0.00001
    51    0.07623   37.87730    0.00162    0.00162    0.00325    0.00001
    52    0.07777   35.43494    0.00162    0.00162    0.00325    0.00001
    53    0.07931   32.99215    0.00162    0.00162    0.00325    0.00001
    54    0.08085   30.54902    0.00162    0.00162    0.00325    0.00000
    55    0.08239   28.10561    0.00162    0.00162    0.00325    0.00000
    56    0.08393   25.66197    0.00162    0.00162    0.00325    0.00000
    57    0.08547   23.21819    0.00162    0.00162    0.00325    0.00000
    58    0.08701   20.77429    0.00162    0.00162    0.00325    0.00000
    59    0.08855   18.33032    0.00162    0.00162    0.00325    0.00000
    60    0.09009   15.88631    0.00162    0.00162    0.00325    0.00000
    61    0.09163   13.44228    0.00162    0.00162    0.00325    0.00000
    62    0.09317   10.99823    0.00162    0.00162    0.00325    0.00000
    63    0.09471    8.55419    0.00162    0.00162    0.00325    0.00000
    64    0.09625    6.11013    0.00162    0.00162    0.00325    0.00000
    65    0.09779    3.66607    0.00162    0.00162    0.00325    0.00000
    66    0.09933    1.22203    0.00325    0.00162    0.00487    0.00000
    67    0.10010    0.00000 **********    0.00000    1.00000    0.00000
