 # I XP T DE ATW ATP BT
     1    0.00000  400.00000    7.69231    0.00000    1.00000  400.00000
     2    0.00078  396.70355    3.84615    7.69231   11.53934    0.26288
     3    0.00234  390.13339    3.84615    3.84615    7.69315    0.24589
     4    0.00390  383.58450    3.84615    3.84615    7.69311    0.22979
     5    0.00546  377.05551    3.84615    3.84615    7.69307    0.21454
     6    0.00702  370.54514    3.84615    3.84615    7.69303    0.20010
     7    0.00858  364.05206    3.84615    3.84615    7.69299    0.18644
     8    0.01014  357.57513    3.84615    3.84615    7.69295    0.17352
     9    0.01170  351.11328    3.84616    3.84615    7.69292    0.16132
    10    0.01326  344.66541    3.84615    3.84616    7.69289    0.14979
    11    0.01482  338.23050    3.84615    3.84615    7.69285    0.13891
    12    0.01638  331.80762    3.84616    3.84615    7.69283    0.12866
    13    0.01794  325.39584    3.84615    3.84616    7.69280    0.11900
    14    0.01950  318.99442    3.84615    3.84615    7.69276    0.10991
    15    0.02106  312.60248    3.84616    3.84615    7.69274    0.10136
    16    0.02262  306.21933    3.84616    3.84616    7.69272    0.09333
    17    0.02418  299.84427    3.84615    3.84616    7.69269    0.08580
    18    0.02574  293.47662    3.84616    3.84615    7.69266    0.07874
    19    0.02730  287.11584    3.84616    3.84616    7.69265    0.07213
    20    0.02886  280.76132    3.84615    3.84616    7.69262    0.06595
    21    0.03042  274.41251    3.84615    3.84615    7.69260    0.06019
    22    0.03198  268.06891    3.84615    3.84615    7.69257    0.05481
    23    0.03354  261.73007    3.84617    3.84615    7.69257    0.04981
    24    0.03510  255.39555    3.84615    3.84617    7.69255    0.04516
    25    0.03666  249.06493    3.84615    3.84615    7.69251    0.04085
    26    0.03822  242.73785    3.84617    3.84615    7.69252    0.03685
    27    0.03978  236.41397    3.84615    3.84617    7.69250    0.03316
    28    0.04134  230.09293    3.84616    3.84615    7.69248    0.02975
    29    0.04290  223.77449    3.84616    3.84616    7.69247    0.02662
    30    0.04446  217.45839    3.84615    3.84616    7.69245    0.02374
    31    0.04602  211.14433    3.84616    3.84615    7.69244    0.02110
    32    0.04758  204.83214    3.84616    3.84616    7.69244    0.01868
    33    0.04914  198.52158    3.84615    3.84616    7.69242    0.01649
    34    0.05070  192.21245    3.84616    3.84615    7.69241    0.01449
    35    0.05226  185.90460    3.84616    3.84616    7.69240    0.01268
    36    0.05382  179.59785    3.84615    3.84616    7.69239    0.01104
    37    0.05538  173.29208    3.84616    3.84615    7.69238    0.00957
    38    0.05694  166.98715    3.84616    3.84616    7.69238    0.00825
    39    0.05850  160.68294    3.84615    3.84616    7.69236    0.00708
    40    0.06006  154.37933    3.84617    3.84615    7.69237    0.00603
    41    0.06162  148.07628    3.84615    3.84617    7.69236    0.00510
    42    0.06318  141.77362    3.84615    3.84615    7.69234    0.00429
    43    0.06474  135.47134    3.84615    3.84615    7.69233    0.00358
    44    0.06630  129.16939    3.84617    3.84615    7.69234    0.00295
    45    0.06786  122.86772    3.84615    3.84617    7.69234    0.00242
    46    0.06942  116.56622    3.84617    3.84615    7.69234    0.00196
    47    0.07098  110.26492    3.84615    3.84617    7.69233    0.00157
    48    0.07254  103.96372    3.84615    3.84615    7.69231    0.00124
    49    0.07410   97.66263    3.84615    3.84615    7.69231    0.00097
    50    0.07566   91.36163    3.84617    3.84615    7.69232    0.00074
    51    0.07722   85.06071    3.84617    3.84617    7.69234    0.00056
    52    0.07878   78.75985    3.84615    3.84617    7.69232    0.00041
    53    0.08034   72.45899    3.84615    3.84615    7.69230    0.00029
    54    0.08190   66.15816    3.84615    3.84615    7.69230    0.00020
    55    0.08346   59.85736    3.84617    3.84615    7.69232    0.00014
    56    0.08502   53.55659    3.84615    3.84617    7.69232    0.00009
    57    0.08658   47.25580    3.84617    3.84615    7.69231    0.00005
    58    0.08814   40.95504    3.84615    3.84617    7.69231    0.00003
    59    0.08970   34.65425    3.84615    3.84615    7.69230    0.00002
    60    0.09126   28.35347    3.84615    3.84615    7.69230    0.00001
    61    0.09282   22.05269    3.84617    3.84615    7.69231    0.00000
    62    0.09438   15.75193    3.84615    3.84617    7.69231    0.00000
    63    0.09594    9.45115    3.84617    3.84615    7.69231    0.00000
    64    0.09750    3.15039    7.69230    3.84617   11.53846    0.00000
    65    0.09828    0.00000 **********    0.00000    1.00000    0.00000
