 # I XP T DE ATW ATP BT
     1       0.0000       0.0000       0.0000       0.0000       1.0000       0.0000
     2       0.0455      -0.0000       0.0000       0.0001       0.0002       0.0000
     3       0.1364      -0.0000       0.0000       0.0001       0.0001       0.0000
     4       0.2273      -0.0000       0.0000       0.0001       0.0001       0.0000
     5       0.3182      -0.0000       0.0000       0.0001       0.0001       0.0000
     6       0.4091      -0.0000       0.0000       0.0001       0.0001       0.0000
     7       0.5000      -0.0002       0.0000       0.0001       0.0001       0.0000
     8       0.5909      -0.0013       0.0000       0.0001       0.0001       0.0000
     9       0.6818      -0.0075       0.0000       0.0001       0.0001       0.0000
    10       0.7727      -0.0414       0.0000       0.0001       0.0001       0.0000
    11       0.8636      -0.2295       0.0000       0.0001       0.0001       0.0000
    12       0.9546      -1.2727       0.0000       0.0001       0.0001      -0.0001
    13       1.0000       1.0000 ************       0.0000       1.0000       1.0000
