 # I XP P U DE ATW ATP BT
     1       0.0000      -0.0234      10.0000       0.0000       0.0000 ************       0.0000
     2       0.5000      -0.0234      10.0000       0.0000       0.0000       0.0000       0.0000
     3       1.5000      -0.0195      10.0000       0.0000       0.0000       0.0000       0.0000
     4       2.5000      -0.0156      10.0000       0.0000       0.0000       0.0000       0.0000
     5       3.5000      -0.0117      10.0000       0.0000       0.0000          NaN       0.0000
     6       4.5000      -0.0078      10.0000       0.0000       0.0000          NaN       0.0000
     7       5.5000      -0.0039      10.0000       0.0000       0.0000 ************       0.0000
     8       6.5000      -0.0039      10.0000       0.0000       0.0000       0.0000       0.0000
     9       7.5000      -0.0039      10.0000       0.0000       0.0000 ************       0.0000
    10       8.5000      -0.0044      10.0000       0.0000       0.0000       0.0000       0.0000
    11       9.5000      -0.0049      10.0000       0.0000       0.0000 ************       0.0000
    12      10.0000       0.0000      10.0000       0.0000       0.0000       0.0000       0.0000
