 # I XP P U DE ATW ATP BT
     1       0.0000    9658.6465       2.0000       0.0001       0.0000 ************       0.0000
     2       0.0312    9658.6465       2.0357       0.0000       0.0000       0.0000       0.0000
     3       0.0938    8559.6875       2.4977       0.0000       0.0000       0.0000       0.0000
     4       0.1562    6745.7500       3.2918       0.0000       0.0000       0.0000       0.0000
     5       0.2188    2686.4243       4.5555       0.0000       0.0000          NaN       0.0000
     6       0.2812   -6265.9951       6.6865       0.0000       0.0000          NaN       0.0000
     7       0.3438  -25326.5020       9.5586       0.0000       0.0000 ************       0.0000
     8       0.4062  -61060.1797      13.0471       0.0000       0.0000       0.0000       0.0000
     9       0.4688 -107753.1719      15.8935       0.0000       0.0000 ************       0.0000
    10       0.5312 -123215.3281      16.6657       0.0000       0.0000       0.0000       0.0000
    11       0.5938  -81011.8594      14.1821       0.0000       0.0000 ************       0.0000
    12       0.6562  -35326.3164       9.6768       0.0000       0.0000       0.0000       0.0000
    13       0.7188  -13449.0957       6.0885       0.0000       0.0000 ************       0.0000
    14       0.7812   -5022.1206       4.0557       0.0000       0.0000       0.0000          NaN
    15       0.8438   -1753.2036       2.8916       0.0000       0.0000       0.0000      -0.0000
    16       0.9062    -453.2491       2.3694       0.0000       0.0000       0.0000       0.0000
    17       0.9688     -45.6880       2.1189       0.0001       0.0000 ************       0.0000
    18       1.0000       0.0000       2.1189       0.0000       0.0000       0.0000       0.0000
