 # I XP P U DE ATW ATP BT
     1       0.0000    5127.3130       2.0000       0.0004       0.0000 ************       0.0000
     2       0.0078    5127.3130       2.0027       0.0002       0.0000       0.0000       0.0000
     3       0.0234    5090.8159       2.0193       0.0002       0.0000       0.0000       0.0000
     4       0.0391    5035.9492       2.0466       0.0002       0.0000       0.0000       0.0000
     5       0.0547    4952.2524       2.0871       0.0002       0.0000          NaN       0.0000
     6       0.0703    4834.8809       2.1422       0.0002       0.0000          NaN       0.0000
     7       0.0860    4678.9707       2.2132       0.0002       0.0000 ************       0.0000
     8       0.1016    4477.8213       2.3014       0.0002       0.0000       0.0000       0.0000
     9       0.1172    4222.4165       2.4087       0.0001       0.0000 ************       0.0000
    10       0.1329    3900.8940       2.5373       0.0001       0.0000       0.0000       0.0000
    11       0.1485    3497.7603       2.6899       0.0001       0.0000 ************       0.0000
    12       0.1641    2992.7788       2.8697       0.0001       0.0000       0.0000       0.0000
    13       0.1797    2359.5183       3.0807       0.0001       0.0000 ************       0.0000
    14       0.1954    1563.4545       3.3275       0.0001       0.0000       0.0000          NaN
    15       0.2110     559.5136       3.6153       0.0001       0.0000       0.0000      -0.0000
    16       0.2266    -711.0506       3.9503       0.0001       0.0000       0.0000       0.0000
    17       0.2423   -2324.5305       4.3395       0.0001       0.0000 ************       0.0000
    18       0.2579   -4379.3594       4.7906       0.0001       0.0000       0.0000       0.0000
    19       0.2735   -7001.2051       5.3118       0.0001       0.0000 ************       0.0000
    20       0.2892  -10347.9346       5.9116       0.0001       0.0000       0.0000       0.0000
    21       0.3048  -14613.1641       6.5983       0.0001       0.0000 ************       0.0000
    22       0.3204  -20026.0449       7.3785       0.0000       0.0000       0.0000       0.0000
    23       0.3360  -26843.3633       8.2565       0.0000       0.0000 ************       0.0000
    24       0.3517  -35328.8984       9.2321       0.0000       0.0000       0.0000       0.0000
    25       0.3673  -45713.0703      10.2983       0.0000       0.0000       0.0000       0.0000
    26       0.3829  -58127.5078      11.4393       0.0000       0.0000       0.0000       0.0000
    27       0.3986  -72513.6953      12.6277       0.0000       0.0000          NaN       0.0000
    28       0.4142  -88515.5469      13.8233       0.0000       0.0000          NaN       0.0000
    29       0.4298 -105384.4688      14.9733       0.0000       0.0000 ************       0.0000
    30       0.4455 -121943.0234      16.0144       0.0000       0.0000       0.0000       0.0000
    31       0.4611 -136660.3750      16.8788       0.0000          NaN ************       0.0000
    32       0.4767 -147873.5469      17.5019       0.0000       0.0000       0.0000       0.0000
    33       0.4923 -154129.3594      17.8320       0.0000       0.0000 ************       0.0000
    34       0.5080 -154550.1250      17.8395       0.0000       0.0000       0.0000       0.0000
    35       0.5236 -149083.4062      17.5221       0.0000       0.0000 ************       0.0000
    36       0.5392 -138523.3750      16.9062       0.0000       0.0000       0.0000       0.0000
    37       0.5549 -124290.5625      16.0418       0.0000       0.0000 ************       0.0000
    38       0.5705 -108067.2422      14.9939       0.0000       0.0000       0.0000       0.0000
    39       0.5861  -91433.5234      13.8328       0.0000 ************       0.0000 ************
    40       0.6018  -75618.8203      12.6243       0.0000       0.0000       0.0000       0.0000
    41       0.6174  -61408.7031      11.4238       0.0000       0.0000 ************       0.0000
    42       0.6330  -49176.3828      10.2731       0.0000       0.0000       0.0000       0.0000
    43       0.6486  -38982.3672       9.2003       0.0000       0.0000 ************ ************
    44       0.6643  -30688.7812       8.2213       0.0000       0.0000       0.0000       0.0000
    45       0.6799  -24057.0488       7.3424       0.0001       0.0000 ************       0.0000
    46       0.6955  -18816.5039       6.5633       0.0001       0.0000       0.0000       0.0000
    47       0.7112  -14706.1064       5.8790       0.0001       0.0000 ************       0.0000
    48       0.7268  -11494.9521       5.2822       0.0001       0.0000       0.0000       0.0000
    49       0.7424   -8989.5137       4.7643       0.0001       0.0000 ************       0.0000
    50       0.7581   -7033.1782       4.3166       0.0001       0.0000       0.0000       0.0000
    51       0.7737   -5502.0620       3.9305       0.0001       0.0000 ************       0.0000
    52       0.7893   -4299.7295       3.5983       0.0001       0.0000       0.0000       0.0000
    53       0.8049   -3351.8359       3.3130       0.0001       0.0000       0.0000       0.0000
    54       0.8206   -2601.4224       3.0685       0.0001       0.0000       0.0000       0.0000
    55       0.8362   -2005.0183       2.8594       0.0001       0.0000       0.0000       0.0000
    56       0.8518   -1529.4720       2.6813       0.0001       0.0000       0.0000       0.0000
    57       0.8675   -1149.5649       2.5301       0.0001       0.0000       0.0000       0.0000
    58       0.8831    -846.0704       2.4028       0.0002       0.0000       0.0000       0.0000
    59       0.8987    -604.4183       2.2966       0.0002       0.0000       0.0000       0.0000
    60       0.9144    -413.4616       2.2094       0.0002       0.0000       0.0000       0.0000
    61       0.9300    -265.0147       2.1390       0.0002       0.0000       0.0000       0.0000
    62       0.9456    -152.7098       2.0851       0.0002       0.0000       0.0000       0.0000
    63       0.9612     -72.7893       2.0446       0.0002 ************       0.0000 ************
    64       0.9769     -21.8017       2.0213       0.0002       0.0000       0.0000       0.0000
    65       0.9925      -1.8411       2.0071       0.0004       0.0000       0.0000       0.0000
    66       1.0003       0.0000       2.0071       0.0000       0.0000       0.0000       0.0000
