 # I XP P U DE ATW ATP BT
     1       0.0000   29918.9238       2.0000       0.0002       0.0000 ************       0.0000
     2       0.0156   29918.9238       2.0196       0.0001       0.0000       0.0000       0.0000
     3       0.0469   29838.6211       2.0826       0.0001       0.0000       0.0000       0.0000
     4       0.0781   29653.7988       2.2003       0.0001       0.0000       0.0000       0.0000
     5       0.1094   29314.4551       2.3870       0.0001       0.0000          NaN       0.0000
     6       0.1406   28753.2285       2.6595       0.0001       0.0000          NaN       0.0000
     7       0.1719   27857.0117       3.0415       0.0001       0.0000 ************       0.0000
     8       0.2031   26433.1152       3.5665       0.0000       0.0000       0.0000       0.0000
     9       0.2344   24153.8691       4.2786       0.0000       0.0000 ************       0.0000
    10       0.2656   20467.6680       5.2325       0.0000       0.0000       0.0000       0.0000
    11       0.2969   14472.5449       6.4863       0.0000       0.0000 ************       0.0000
    12       0.3281    4786.6064       8.0850       0.0000       0.0000       0.0000       0.0000
    13       0.3594  -10438.8525      10.0272       0.0000       0.0000 ************       0.0000
    14       0.3906  -33003.1484      12.2186       0.0000       0.0000       0.0000          NaN
    15       0.4219  -63119.1250      14.4288       0.0000       0.0000       0.0000      -0.0000
    16       0.4531  -96909.7812      16.2912       0.0000       0.0000       0.0000       0.0000
    17       0.4844 -125083.0312      17.3890       0.0000       0.0000 ************       0.0000
    18       0.5156 -136643.6406      17.4197       0.0000       0.0000       0.0000       0.0000
    19       0.5469 -127131.3594      16.3544       0.0000       0.0000 ************       0.0000
    20       0.5781 -102606.2031      14.4682       0.0000       0.0000       0.0000       0.0000
    21       0.6094  -74033.5781      12.2024       0.0000       0.0000 ************       0.0000
    22       0.6406  -49437.2578       9.9627       0.0000       0.0000       0.0000       0.0000
    23       0.6719  -31532.7266       7.9989       0.0000       0.0000 ************       0.0000
    24       0.7031  -19677.8535       6.4023       0.0000       0.0000       0.0000       0.0000
    25       0.7344  -12196.8408       5.1629       0.0000       0.0000       0.0000       0.0000
    26       0.7656   -7558.1162       4.2263       0.0000       0.0000       0.0000       0.0000
    27       0.7969   -4677.5396       3.5293       0.0001       0.0000          NaN       0.0000
    28       0.8281   -2867.1824       3.0161       0.0001       0.0000          NaN       0.0000
    29       0.8594   -1711.7295       2.6425       0.0001       0.0000 ************       0.0000
    30       0.8906    -965.5959       2.3762       0.0001       0.0000       0.0000       0.0000
    31       0.9219    -485.0309       2.1946       0.0001          NaN ************       0.0000
    32       0.9531    -188.4498       2.0858       0.0001       0.0000       0.0000       0.0000
    33       0.9844     -40.9706       2.0283       0.0002       0.0000 ************       0.0000
    34       1.0000       0.0000       2.0283       0.0000       0.0000       0.0000       0.0000
