 Preconditioned BiConjugate Gradient for N, ITOL =  1600    1
 ITER   Error Estimate            Alpha             Beta
    0    0.6342508E-01    0.1610807-309    0.6618505-310
    1    0.4475085E-03    0.1006771E+01    0.6618505-310
    2    0.3516893E-04    0.1161366E+01    0.5023273E-03
    3    0.1011777E-05    0.1084397E+01    0.4465673E-02
    4    0.5610420E-07    0.9834105E+00    0.9879577E-03
    5    0.6132472E-08    0.9770679E+00    0.7588163E-02
 Preconditioned BiConjugate Gradient for N, ITOL =  4800    1
 ITER   Error Estimate            Alpha             Beta
    0         Infinity    0.1489917-308    0.6975637-309
    1         Infinity   -0.8987418E+00    0.6975637-309
    2         Infinity   -0.1812429E+00   -0.2327829E+01
    3         Infinity    0.7169368E+00   -0.1282592E+01
    4         Infinity    0.3894754E+00   -0.5396381E+00
    5         Infinity    0.1832428E+00   -0.3018011E+00
    6         Infinity   -0.1926866E-01    0.3213721E+00
    7         Infinity    0.1924065E+01   -0.5901919E+00
    8         Infinity   -0.1777701E+00    0.1863201E+01
    9         Infinity    0.2040167E+01   -0.2933770E+01
   10         Infinity   -0.7916553E-01    0.3644834E+02
   11         Infinity    0.3886209E+00   -0.2209314E-01
   12         Infinity    0.1920540E+00   -0.2864949E+00
   13         Infinity    0.6098750E+00   -0.3568022E+00
   14         Infinity   -0.6600523E+00    0.7848009E+00
   15         Infinity   -0.6622137E+00   -0.3894842E+01
   16         Infinity    0.7495859E+00   -0.9975086E+00
   17         Infinity    0.1782609E+00   -0.1447945E+01
   18         Infinity    0.5113813E+00   -0.1729236E+00
   19         Infinity   -0.4405832E+00    0.4108114E+00
   20         Infinity   -0.4552521E+00   -0.3591496E+01
   21         Infinity    0.7072218E+00   -0.4626983E+00
   22         Infinity    0.2829973E+00   -0.1237687E+02
   23         Infinity   -0.4354644E-01    0.4247880E+01
   24         Infinity    0.3128712E+00    0.5669304E-01
   25         Infinity    0.3501055E+00   -0.1771828E+01
   26         Infinity    0.4763697E-01    0.3671222E+00
   27         Infinity    0.4531711E+00   -0.1043276E+01
   28         Infinity    0.3828640E+00    0.1355011E+00
   29         Infinity   -0.8805385E-01    0.1544731E+01
   30         Infinity   -0.2657115E+01   -0.6533463E+00
   31         Infinity    0.2186283E+00   -0.1962431E+02
   32         Infinity   -0.1946165E+00    0.1023478E+01
   33         Infinity   -0.5361337E+00   -0.1601222E+01
   34         Infinity    0.2764692E+00    0.6650984E+00
   35         Infinity    0.3968074E-01   -0.6303294E-01
   36         Infinity    0.1383815E+01   -0.8417086E+00
   37         Infinity   -0.7084919E-01   -0.5014148E+01
   38         Infinity    0.3504459E+00    0.1074063E+00
   39         Infinity    0.1134649E+00   -0.6378478E+00
   40         Infinity    0.8855326E+00   -0.3950722E+00
   41         Infinity    0.7220055E+00   -0.1333839E+01
   42         Infinity   -0.5989782E+00    0.1025821E+01
   43         Infinity   -0.3093011E+00   -0.5533000E+01
   44         Infinity   -0.7128484E+00   -0.6307504E+00
   45         Infinity    0.3291669E+01   -0.9204202E+00
   46         Infinity   -0.8325996E+00    0.6224718E+01
   47         Infinity   -0.1339149E+00   -0.1089777E+02
   48         Infinity   -0.2958196E+00   -0.5206903E-01
   49         Infinity    0.2345711E+00    0.5526424E+01
   50         Infinity    0.6532949E+00    0.1159255E+00
   51         Infinity   -0.7022336E-03    0.7055323E-02
   52         Infinity   -0.9416964E+02   -0.1001568E+01
   53         Infinity   -0.1708045E+00   -0.1942475E+04
   54         Infinity   -0.1901303E+00   -0.8145651E-01
   55         Infinity   -0.1973213E+01   -0.9739850E+00
   56         Infinity   -0.1115838E+00   -0.1912417E+01
   57         Infinity    0.7485464E+01   -0.1322313E+01
   58         Infinity    0.5931581E-01   -0.6520932E+02
   59         Infinity   -0.1236960E+02   -0.1151833E+00
   60         Infinity   -0.2340220E-01   -0.5576824E+03
   61         Infinity   -0.2560725E+00   -0.4106248E-02
   62         Infinity   -0.5481925E+00    0.3357491E+01
   63         Infinity    0.1318884E+00    0.1683450E+01
   64         Infinity    0.9486638E-01   -0.1386730E+00
   65         Infinity    0.3633427E+01   -0.8020051E+00
   66         Infinity    0.7419110E-01   -0.4310210E+02
   67         Infinity    0.6723081E-01   -0.8179331E-01
   68         Infinity   -0.2009754E-03   -0.3549106E-04
   69         Infinity   -0.8753711E+03   -0.1000616E+01
   70         Infinity   -0.6607084E+00   -0.1401824E+04
