    I     J        X             Y             P             U             V             T
    1     1   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
    2     1   1.25000E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
    3     1   3.75000E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
    4     1   6.25000E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
    5     1   8.75000E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
    6     1   1.12500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
    7     1   1.37500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
    8     1   1.62500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
    9     1   1.87500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   10     1   2.12500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   11     1   2.37500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   12     1   2.62500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   13     1   2.87500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   14     1   3.12500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   15     1   3.37500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   16     1   3.62500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   17     1   3.87500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   18     1   4.12500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   19     1   4.37500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   20     1   4.62500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   21     1   4.87500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   22     1   5.12500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   23     1   5.37500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   24     1   5.62500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   25     1   5.87500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   26     1   6.12500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   27     1   6.37500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   28     1   6.62500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   29     1   6.87500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   30     1   7.12500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   31     1   7.37500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   32     1   7.62500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   33     1   7.87500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   34     1   8.12500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   35     1   8.37500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   36     1   8.62500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   37     1   8.87500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   38     1   9.12500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   39     1   9.37500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   40     1   9.62500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   41     1   9.87500E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
   42     1   1.00000E-02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.93150E+02
    1     2   0.00000E+00   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.13150E+02
    2     2   1.25000E-04   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.10439E+02
    3     2   3.75000E-04   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.06320E+02
    4     2   6.25000E-04   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.03189E+02
    5     2   8.75000E-04   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.00808E+02
    6     2   1.12500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.98996E+02
    7     2   1.37500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.97616E+02
    8     2   1.62500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.96564E+02
    9     2   1.87500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.95763E+02
   10     2   2.12500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.95151E+02
